청구일,종목명,상태,자본금(백만),매출액(백만),당기순이익(백만),주간사,주업종,수요예측일,희망공모가(원),확정공모가,공모금액(백만),예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,공모주일정,희망공모가,청약경쟁률,분석,신규상장일,현재가(원),전일비(%),공모가대비등락률(%),시초가(원),시초/공모(%),첫날종가(원),
2020/07/29,이지스레지던스리츠(유가),상장,"20,600",0,0,"삼성증권,디비금융투자,유안타증",부동산 임대 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2020/07/28,네패스아크,상장,"5,252","54,719","4,653",미래에셋대우,전자부품 제조업,2020.11.02~11.03,"23,400~26,500","26,500","54,765",2020.11.02,"23,400~26,500","26,500","54,765",707.7:1,1.60%,2020.11.09~11.10,"23,400~26,500",830.21:1,,2020/11/17,"45,150",-0.22%,70.38%,"36,200",36.6%,"38,700",
2020/07/28,뷰노,상장,"1,112",162,"-5,913","미래에셋대우,삼성증권","자료처리, 호스팅, 포털 및 기타",2021.02.08~02.09,"15,000~19,500","21,000","27,000",2021.02.08,"15,000~19,500","21,000","27,000",1457.21:1,23.80%,2021.02.16~02.17,"15,000~19,500",1102.7:1,,2021/02/26,"12,600",-5.62%,-40%,"32,900",56.67%,"32,150",
2020/07/23,프리시젼바이오,상장,"5,621","2,409",-706,한국투자증권,의료용 기기 제조업,2020.12.08~12.09,"10,500~12,500","12,500","15,750",2020.12.08,"10,500~12,500","12,500","15,750",1231.23:1,1.62%,2020.12.14~12.15,"10,500~12,500",1557.29:1,,2020/12/22,"9,670",-5.20%,-22.64%,"25,000",100%,"32,500",
2020/07/22,하나기술,상장,"1,822","59,294","4,317",하나금융투자,특수 목적용 기계 제조업,2020.11.09~11.10,"31,000~35,000","35,000","24,800",2020.11.09,"31,000~35,000","35,000","24,800",1393.98:1,16.83%,2020.11.13~11.16,"31,000~35,000",1802.10:1,,2020/11/25,"62,700",6.45%,79.14%,"70,000",100%,"91,000",
2020/07/22,미래에셋맵스리츠1호(유가),상장,"20,100",0,0,"미래에셋대우,신한금융투자,SK증",비주거용 부동산 관리업,,,,,,,,,,,,,,,,,,,,,,
2020/07/21,상상인이안스팩3호,철회,385,0,0,상상인증권,금융 지원 서비스업,,,,,,,,,,,,,,,,,,,,,,
2020/07/16,패스트파이브,철회,"1,912","42,550","-59,832",엔에이치투자증권,부동산 관련 서비스업,,,,,,,,,,,,,,,,,,,,,,
2020/07/16,포인트모바일,상장,616,"62,181","8,494",하나금융투자,컴퓨터 및 주변장치 제조업,2020.11.16~11.17,"13,000~15,000","15,000","14,233",2020.11.16,"13,000~15,000","15,000","14,233",1447.07:1,18.19%,2020.11.23~11.24,"13,000~15,000",1842.97:1,,2020/12/03,"16,900",-4.52%,12.67%,"30,000",100%,"30,550",
2020/07/16,시너스텍(유가),철회,"10,312","335,588","20,118",엔에이치투자증권,특수 목적용 기계 제조업,,,,,,,,,,,,,,,,,,,,,,
2020/07/14,마스턴프리미어리츠1호(유가),철회,300,0,0,,비주거용 부동산 관리업,,,,,,,,,,,,,,,,,,,,,,
2020/07/13,이도(유가),철회,"13,275","147,252","3,111","대신증권,미래에셋대우",폐기물 처리업,,,,,,,,,,,,,,,,,,,,,,
2020/07/13,모비릭스,상장,927,"40,340","6,189",한국투자증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2020/07/10,클리노믹스,상장,"1,320","4,101","-5,760",대신증권,의료용품 및 기타 의약 관련제품,2020.11.17~11.18,"10,900~13,900","13,900","21,498",2020.11.17,"10,900~13,900","13,900","21,498",494.20:1,2.05%,2020.11.23~11.24,"10,900~13,900",341.46:1,,2020/12/04,"11,000",-4.76%,-20.86%,"18,500",33.09%,"19,000",
2020/07/06,소룩스,상장,815,"71,108","5,794",미래에셋대우,전구 및 조명장치 제조업,2020.10.23~10.26,"8,000~10,000","10,000","15,789",2020.10.23,"8,000~10,000","10,000","15,789",1135.7:1,0.80%,2020.10.29~10.30,"8,000~10,000",1660.08:1,,2020/11/06,"10,450",-7.52%,4.5%,"20,000",100%,"26,000",
2020/07/03,고바이오랩,상장,"7,742",577,"-44,067","삼성증권,대신증권",자연과학 및 공학 연구개발업,2020.11.03~11.04,"18,000~23,000","15,000","43,200",2020.11.03,"18,000~23,000","15,000","43,200",64.33:1,0.03%,2020.11.09~11.10,"18,000~23,000",566.54:1,,2020/11/18,"18,250",-4.45%,21.67%,"30,000",100%,"31,300",
2020/07/01,에스바이오메딕스,철회,"5,074","5,014","-9,013",미래에셋대우,의약품 제조업,,,,,,,,,,,,,,,,,,,,,,
2020/07/01,엔에이치스팩17호,상장,701,0,0,엔에이치투자증권,금융 지원 서비스업,,,,,,,,,,,,,,,,,,,,,,
2020/06/30,이지스밸류플러스리츠(유가),상장,300,0,0,,부동산업,,,,,,,,,,,,,,,,,,,,,,
2020/06/29,파나시아,철회,"6,719","328,468","64,364",한국투자증권,선박 및 보트 건조업,,,,,,,,,,,,,,,,,,,,,,
2020/06/25,알체라,상장,"6,684","3,291","-11,416",신영증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2020/06/24,원투씨엠,철회,243,"13,138","-7,055",KB증권,소프트웨어 개발 및 공급업,,,,,,,,,,,,,,,,,,,,,,
2020/06/19,선진뷰티사이언스,상장,"3,057","47,403","4,333","신한금융투자,삼성증권",기타 화학제품 제조업,2021.01.12~01.13,"10,100~11,500","11,500","18,533",2021.01.12,"10,100~11,500","11,500","18,533",1431:1,17.83%,2021.01.18~01.19,"10,100~11,500",1987.74:1,,2021/01/27,"12,850",-4.10%,11.74%,"23,000",100%,"29,900",
